State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chattisgarh,0.571,0.57,0.567,0.563,0.572,0.582,0.59,0.596,0.606,0.608,0.611
Jharkhand,0.572,0.571,0.568,0.564,0.569,0.576,0.58,0.582,0.592,0.595,0.598
Odisha,0.522,0.533,0.541,0.55,0.56,0.572,0.582,0.589,0.599,0.602,0.605
Madhya Pradesh,0.525,0.535,0.542,0.549,0.559,0.571,0.581,0.588,0.598,0.6,0.603
Jammu and Kashmir,0.627,0.64,0.65,0.66,0.664,0.67,0.672,0.672,0.682,0.685,0.688
Maharashtra,0.633,0.644,0.651,0.659,0.666,0.673,0.678,0.68,0.691,0.694,0.697
West Bengal,0.562,0.571,0.577,0.584,0.595,0.607,0.617,0.625,0.635,0.638,0.641
Uttar Pradesh,0.524,0.532,0.537,0.543,0.553,0.564,0.572,0.579,0.589,0.591,0.594
Meghalaya ,0.597,0.619,0.636,0.654,0.652,0.65,0.646,0.64,0.65,0.652,0.656
Assam,0.555,0.564,0.57,0.578,0.584,0.59,0.595,0.598,0.608,0.61,0.613
